Year,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry,Total
1981,449,–,401,862,–,–,539,207,150,154,–,407,188,573,696,88,42,–,73,336,267,432,13,534,,56,952,–,437,–,–,7856
1982,445,–,215,704,–,–,526,211,84,252,–,406,331,562,850,43,27,–,31,240,376,537,13,646,,33,1036,–,527,–,–,8095
1983,427,–,208,583,–,–,666,350,90,178,–,500,213,610,957,44,32,–,37,367,438,464,11,716,,36,1127,–,451,–,–,8505
1984,546,–,254,711,–,–,752,338,101,198,–,586,329,700,1063,53,40,–,50,214,614,487,18,841,,47,1355,–,441,–,–,9738
1985,656,–,330,721,–,–,762,359,134,238,–,732,433,788,1183,89,44,–,39,384,785,535,18,740,,57,1894,–,588,–,–,11509
1986,633,–,264,868,–,–,653,461,177,294,–,796,523,813,1241,91,53,46,69,410,800,609,26,859,,69,1629,–,714,–,–,12098
1987,824,78,437,1083,–,83,853,542,183,336,–,864,507,818,1433,101,73,8,81,482,627,691,34,836,,68,1876,–,810,–,–,13728
1988,853,102,469,1295,–,90,996,375,196,408,–,770,470,879,1425,104,74,60,107,582,990,845,40,821,,98,1821,–,913,–,–,14783
1989,977,111,420,1113,–,85,1011,436,216,439,–,776,460,978,1561,115,94,56,114,602,798,845,51,854,,112,1822,–,804,–,–,14850
1990,1053,134,598,1275,–,98,1117,419,209,530,–,918,591,1044,1835,123,92,64,122,629,866,868,52,931,,105,1983,–,912,–,–,16568
1991,1076,140,769,1329,–,120,1388,464,217,772,–,1008,552,1153,2019,146,95,197,130,861,880,1248,55,980,,116,2702,–,900,–,–,19317
1992,1306,156,615,1066,–,135,1670,453,1358,764,–,1294,789,1217,2003,156,124,93,159,1005,816,1729,73,920,,129,2847,–,867,–,–,21744
1993,1793,163,685,1174,–,119,1776,577,301,539,–,1508,707,1505,2467,426,133,116,330,866,785,1350,70,1206,,107,3445,–,983,–,–,23131
1994,2523,176,719,1115,–,128,1474,708,339,825,–,1881,845,1360,2874,200,199,103,252,973,1177,1529,74,1304,,142,2995,–,1067,292,–,25274
1995,2945,252,727,823,–,124,1954,639,394,1015,–,1595,892,1506,5214,167,130,129,184,947,1463,1675,75,1797,,175,5666,–,1652,976,–,33116
1996,3687,296,815,961,–,158,2045,770,446,1057,–,1925,1096,1451,4208,192,198,150,195,865,1369,2576,111,1621,,203,3231,–,1883,1074,–,32583
1997,1872,288,695,1153,–,157,2317,1064,486,1123,–,1779,1154,1631,4159,306,168,189,231,1193,622,2539,122,2337,,272,3809,–,2670,1484,–,33820
1998,3201,307,984,1259,–,148,2732,1188,754,1414,–,1710,1577,2498,4779,335,166,208,226,1318,1636,3699,136,2383,,290,4431,–,2235,1889,–,41503
1999,5014,257,788,1549,–,170,3566,1562,833,940,–,2440,1383,1751,4654,327,192,202,441,1823,2578,2739,126,2182,,355,5388,–,2910,2103,–,46273
2000,4729,277,1240,3420,–,178,3948,1407,892,1053,–,2587,1334,1822,8705,423,268,266,315,1661,1784,2827,110,1899,,312,5868,–,3179,2389,–,52893
2001,5049,298,1214,2601,305,253,5134,1978,939,1144,–,2979,1271,1938,4807,250,344,266,415,2219,2398,2459,184,2685,,401,5649,197,4637,3666,–,55680
2002,6348,351,1704,2309,710,252,2933,2072,1093,1927,1935,3332,1470,2591,4198,779,238,205,568,2187,2982,3046,245,3261,,653,6324,465,4684,3587,–,62449
2003,8316,332,1824,3727,1292,401,5481,1240,1475,2325,2072,5260,2211,4429,6743,742,384,274,411,3252,2511,4526,249,4469,,576,9148,1173,4555,5615,–,85013
2004,10290,800,2146,4501,2351,653,11032,5005,2508,2221,2436,7982,4273,5158,18354,857,456,538,571,4704,4633,7021,296,8494,,702,19220,1845,12664,6633,–,148344
2005,15845,576,4516,5416,2544,598,10598,3035,2242,2939,3217,9315,3106,11386,21622,949,474,423,591,3513,3796,9001,438,12625,,802,14514,1330,5348,7047,–,157806
2006,13391,769,1551,4812,2268,658,8769,2190,2120,3743,3661,6932,2691,8412,16397,738,333,584,748,2143,2244,5721,378,6736,,910,13222,2053,9471,4626,379,128650
2007,15210,889,2028,6551,3188,708,9968,3276,2447,3806,4492,10649,2335,7854,14456,1211,413,578,863,3574,7753,6902,366,12882,,819,19284,2039,7042,5211,460,157254
2008,20892,809,2406,8008,4189,781,9142,4553,2322,5361,5264,10656,3801,9664,15460,1427,517,651,991,5121,3458,8630,471,12773,,1041,22081,2720,8330,8389,387,180295
2009,18949.67,1400.91,3242.55,8669.68,3920.27,1092.02,13155.97,5833.44,3054.22,6303.03,5162.26,12379.53,4329.62,10516.38,23374.57,1781.5,749.94,554.74,1059.93,5482.74,4216.72,8672.64,688.3,14132.83,0,1381.59,28429.22,2493.43,9319.79,8598.75,386.13,209332.37
2010,21626.86,1537.88,3736.12,10211.86,4293.28,1296.97,11696.95,7304.55,2879.91,7418.63,5485.56,15426.59,4701.12,14135.55,22515.13,1711.42,650.98,826.33,1267.68,5249.05,3900.01,8617.61,771.79,13354.98,0,1543.72,31741.7,2639.66,9634.16,11025.04,502.35,227703.44
2011,22101.38,1834.88,2995.15,12488.6,4208.93,1445.11,14166.61,6124.05,2885.19,7102.11,6259.46,17900.24,6100.45,15043.59,23696.05,2036.88,757.47,739.06,1388.22,6683.37,4162.85,8829.97,530.05,17965.44,0,1264.99,26910.22,2388.89,8423.98,11142.59,520.81,238096.59
2012,25466.19,2247.31,3740.37,13680.55,6092.65,1471.49,19669.73,7736.54,3430.54,7175.75,5015.49,20641.09,7744.52,27965.25,25174.18,1857.42,1110.25,762.45,1572.81,7444.87,3765,11718.77,713.59,25627.23,0,1628.67,29827.14,3257.03,10504.51,8437.57,533.78,286012.74
2013,26738.54,1567.32,4610.72,14740.43,7847.41,1285.11,28622.83,8440.2,4540.34,6660.81,7001.99,20307.91,8543.52,20528.79,25466.44,1676.67,1123.87,826.59,1592.75,9018.07,5049.34,17802.12,918.57,24328.46,0,1814.61,32996.57,5256.19,13246.62,9199.45,504.98,312257.22
2014,26254.78,2050.23,5206.59,17927.94,6582.37,1346.22,29462.03,7041.55,3918.7,4850.93,6632.35,21459.13,8884.39,19894.4,31927.4,1454.09,1259.42,718.95,1476.81,10513.17,6015.7,18591.49,1011.08,24367.71,0,1876.42,42573.18,5306.82,16716.12,11685.08,567.59,337572.64
2015,12758.83,2959.71,12550.78,31932,9313.92,2177.45,32892.36,8853.34,4449.58,11420.62,10766.22,24087.82,9095.4,25139.97,33255.32,2187.54,1990.39,1254.71,1635.84,15854.91,7448.21,24923.69,1820.85,24698.71,20148.21,4096.38,70712.59,7103.32,22819.48,8752.22,862.77,447963.14
2016,14624.21,3410.48,12039.32,29477.21,12080.89,3573.75,35532.05,9805.18,4850.93,11205.44,12149.71,25084.75,14018.62,27137.15,38038.19,1687.33,1961.77,1485.24,1920.58,18648.78,9190.66,26908.54,1267.22,35041.23,21458.98,5823.37,76931.14,6154.31,25273.78,10726.91,832.67,498340.39
